,living thing,animal,blood,bird,feathers,robin,chicken,mammal,hairs,dog,deer,bats,antler,hooves,frog,plant,leaves,tree,cottonwood,flower,rose,daisy,color,green,red
living thing,0.000,0.172,0.345,0.334,0.504,0.395,0.302,0.285,0.480,0.344,0.283,0.339,0.262,0.262,0.315,0.318,0.468,0.321,0.321,0.329,0.404,0.300,1.000,0.995,1.000
animal,0.172,0.000,0.185,0.176,0.453,0.251,0.143,0.134,0.440,0.188,0.137,0.182,0.242,0.242,0.170,0.698,0.793,0.694,0.694,0.701,0.731,0.684,1.000,1.000,1.000
blood,0.345,0.185,0.000,0.371,0.609,0.215,0.340,0.324,0.624,0.380,0.297,0.376,0.407,0.407,0.298,0.763,0.837,0.759,0.759,0.741,0.508,0.744,0.690,0.923,0.540
bird,0.334,0.176,0.371,0.000,0.116,0.078,0.057,0.442,0.710,0.475,0.444,0.324,0.511,0.511,0.377,0.773,0.845,0.770,0.770,0.775,0.798,0.763,1.000,1.000,1.000
feathers,0.504,0.453,0.609,0.116,0.000,0.162,0.164,0.706,0.807,0.730,0.702,0.583,0.671,0.671,0.671,0.836,0.887,0.833,0.833,0.840,0.828,0.831,0.975,1.000,0.958
robin,0.395,0.251,0.215,0.078,0.162,0.000,0.148,0.496,0.739,0.538,0.478,0.370,0.556,0.556,0.437,0.794,0.859,0.791,0.791,0.780,0.622,0.780,0.785,0.947,0.680
chicken,0.302,0.143,0.340,0.057,0.164,0.148,0.000,0.400,0.685,0.379,0.417,0.415,0.487,0.487,0.329,0.762,0.837,0.759,0.759,0.746,0.771,0.731,1.000,1.000,1.000
mammal,0.285,0.134,0.324,0.442,0.706,0.496,0.400,0.000,0.125,0.054,0.005,0.092,0.188,0.188,0.326,0.756,0.833,0.753,0.753,0.754,0.779,0.740,1.000,1.000,1.000
hairs,0.480,0.440,0.624,0.710,0.807,0.739,0.685,0.125,0.000,0.177,0.128,0.203,0.250,0.250,0.649,0.828,0.882,0.825,0.825,0.826,0.843,0.816,1.000,1.000,1.000
dog,0.344,0.188,0.380,0.475,0.730,0.538,0.379,0.054,0.177,0.000,0.088,0.167,0.256,0.256,0.350,0.777,0.847,0.774,0.774,0.740,0.766,0.725,1.000,1.000,1.000
deer,0.283,0.137,0.297,0.444,0.702,0.478,0.417,0.005,0.128,0.088,0.000,0.089,0.186,0.186,0.333,0.756,0.833,0.752,0.752,0.763,0.765,0.749,0.982,1.000,0.968
bats,0.339,0.182,0.376,0.324,0.583,0.370,0.415,0.092,0.203,0.167,0.089,0.000,0.257,0.257,0.391,0.777,0.847,0.774,0.774,0.783,0.805,0.771,1.000,1.000,1.000
antler,0.262,0.242,0.407,0.511,0.671,0.556,0.487,0.188,0.250,0.256,0.186,0.257,0.000,0.000,0.413,0.707,0.799,0.703,0.703,0.715,0.744,0.699,1.000,1.000,1.000
hooves,0.262,0.242,0.407,0.511,0.671,0.556,0.487,0.188,0.250,0.256,0.186,0.257,0.000,0.000,0.413,0.707,0.799,0.703,0.703,0.715,0.744,0.699,1.000,1.000,1.000
frog,0.315,0.170,0.298,0.377,0.671,0.437,0.329,0.326,0.649,0.350,0.333,0.391,0.413,0.413,0.000,0.592,0.547,0.586,0.586,0.725,0.753,0.709,0.797,0.649,1.000
plant,0.318,0.698,0.763,0.773,0.836,0.794,0.762,0.756,0.828,0.777,0.756,0.777,0.707,0.707,0.592,0.000,0.063,0.014,0.014,0.186,0.320,0.201,0.888,0.768,1.000
leaves,0.468,0.793,0.837,0.845,0.887,0.859,0.837,0.833,0.882,0.847,0.833,0.847,0.799,0.799,0.547,0.063,0.000,0.050,0.050,0.374,0.488,0.399,0.781,0.585,1.000
tree,0.321,0.694,0.759,0.770,0.833,0.791,0.759,0.753,0.825,0.774,0.752,0.774,0.703,0.703,0.586,0.014,0.050,0.000,0.000,0.263,0.390,0.283,0.887,0.765,1.000
cottonwood,0.321,0.694,0.759,0.770,0.833,0.791,0.759,0.753,0.825,0.774,0.752,0.774,0.703,0.703,0.586,0.014,0.050,0.000,0.000,0.263,0.390,0.283,0.887,0.765,1.000
flower,0.329,0.701,0.741,0.775,0.840,0.780,0.746,0.754,0.826,0.740,0.763,0.783,0.715,0.715,0.725,0.186,0.374,0.263,0.263,0.000,0.126,0.018,0.783,0.794,0.812
rose,0.404,0.731,0.508,0.798,0.828,0.622,0.771,0.779,0.843,0.766,0.765,0.805,0.744,0.744,0.753,0.320,0.488,0.390,0.390,0.126,0.000,0.133,0.610,0.821,0.493
daisy,0.300,0.684,0.744,0.763,0.831,0.780,0.731,0.740,0.816,0.725,0.749,0.771,0.699,0.699,0.709,0.201,0.399,0.283,0.283,0.018,0.133,0.000,0.908,0.909,0.921
color,1.000,1.000,0.690,1.000,0.975,0.785,1.000,1.000,1.000,1.000,0.982,1.000,1.000,1.000,0.797,0.888,0.781,0.887,0.887,0.783,0.610,0.908,0.000,0.136,0.134
green,0.995,1.000,0.923,1.000,1.000,0.947,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.649,0.768,0.585,0.765,0.765,0.794,0.821,0.909,0.136,0.000,0.501
red,1.000,1.000,0.540,1.000,0.958,0.680,1.000,1.000,1.000,1.000,0.968,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.812,0.493,0.921,0.134,0.501,0.000
