,living thing,animal,blood,bird,feathers,robin,chicken,mammal,hairs,dog,deer,bats,antler,hooves,frog,plant,leaves,tree,cottonwood,flower,rose,daisy,color,green,red
living thing,0.0,5.0,9.1,8.1,10.299999999999999,10.1,10.2,8.1,10.4,10.1,10.2,10.299999999999999,20.1,20.1,9.1,5.0,8.6,8.1,10.1,8.1,10.1,10.2,18.0,19.1,19.200000000000003
animal,5.0,0.0,4.0,3.0,5.3,5.1,5.199999999999999,3.0,5.3999999999999995,5.1,5.199999999999999,5.3,20.1,20.1,4.0,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
blood,9.1,4.0,0.0,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
bird,8.1,3.0,20.1,0.0,2.2,2.0,2.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
feathers,10.299999999999999,5.3,20.1,2.2,0.0,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
robin,10.1,5.1,20.1,2.0,20.1,0.0,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
chicken,10.2,5.199999999999999,20.1,2.1,20.1,20.1,0.0,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
mammal,8.1,3.0,20.1,20.1,20.1,20.1,20.1,0.0,2.3,2.0,2.1,2.2,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
hairs,10.4,5.3999999999999995,20.1,20.1,20.1,20.1,20.1,2.3,0.0,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
dog,10.1,5.1,20.1,20.1,20.1,20.1,20.1,2.0,20.1,0.0,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
deer,10.2,5.199999999999999,20.1,20.1,20.1,20.1,20.1,2.1,20.1,20.1,0.0,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
bats,10.299999999999999,5.3,20.1,20.1,20.1,20.1,20.1,2.2,20.1,20.1,20.1,0.0,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
antler,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,0.0,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
hooves,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,0.0,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
frog,9.1,4.0,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,0.0,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
plant,5.0,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,0.0,3.5,3.0,5.1,3.0,5.1,5.199999999999999,20.1,20.1,20.1
leaves,8.6,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,3.5,0.0,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1
tree,8.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,3.0,20.1,0.0,2.0,20.1,20.1,20.1,20.1,20.1,20.1
cottonwood,10.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,5.1,20.1,2.0,0.0,20.1,20.1,20.1,20.1,20.1,20.1
flower,8.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,3.0,20.1,20.1,20.1,0.0,2.0,2.1,20.1,20.1,20.1
rose,10.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,5.1,20.1,20.1,20.1,2.0,0.0,20.1,20.1,20.1,20.1
daisy,10.2,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,5.199999999999999,20.1,20.1,20.1,2.1,20.1,0.0,20.1,20.1,20.1
color,18.0,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,0.0,1.0,1.1
green,19.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,1.0,0.0,20.1
red,19.200000000000003,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,1.1,20.1,0.0
